urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.lucardi.nl/nl-nl/product/88891/14-karaat-gouden-damesring-met-zirkonia,14 Karaat gouden damesring met zirkonia,Lucardi,74.99,50%,Ringen,,,,,,,
https://www.lucardi.nl/nl-nl/product/86571/stalen-armband-schakel-blu-mineral-powder,Stalen armband schakel blu mineral powder,Lucardi,29.99,70%,Armbanden,,,,,,,
https://www.lucardi.nl/nl-nl/product/86561/stalen-armband-schakel-silver-mineral-powder,Stalen armband schakel silver mineral powder,Lucardi,29.99,70%,Armbanden,,,,,,,
https://www.lucardi.nl/nl-nl/product/86558/stalen-ketting-met-hanger-silver-mineral-powder,Stalen ketting met hanger silver mineral powder,Lucardi,17.99,70%,Kettingen,,,,,,,
https://www.lucardi.nl/nl-nl/product/86568/stalen-ketting-met-hanger-blue-mineral-powder,Stalen ketting met hanger blue mineral powder,Lucardi,17.99,70%,Kettingen,,,,,,,
https://www.lucardi.nl/nl-nl/product/88264/donna-mae-mesh-horloge-dm15280-632,Donna Mae mesh horloge DM15280-632,Donna Mae,29.99,50%,Horloges,,,,,,,
https://www.lucardi.nl/nl-nl/product/88261/donna-mae-mesh-horloge-dm1528b-237,Donna Mae mesh horloge DM1528B-237,Donna Mae,29.99,50%,Horloges,,,,,,,
https://www.lucardi.nl/nl-nl/product/88779/donna-mae-mesh-horloge-dm1528r-030,Donna Mae mesh horloge DM1528R-030,Donna Mae,29.99,50%,Horloges,,,,,,,
https://www.lucardi.nl/nl-nl/product/45053/stalen-ketting-en-hanger-met-zwarte-zirkonia,Stalen ketting & hanger met zwarte zirkonia,Lucardi,19.99,50%,Kettingen,,,,,,,
https://www.lucardi.nl/nl-nl/product/46463/stalen-rose-plated-ketting-en-hanger-met-zirkonia,Stalen rose plated ketting & hanger met zirkonia,Lucardi,19.99,50%,Kettingen,,,,,,,
https://www.lucardi.nl/nl-nl/product/42409/stalen-oorbellen-creolen-met-zwarte-zirkonia,Stalen oorbellen creolen met zwarte zirkonia,Lucardi,19.99,50%,Oorbellen,,,,,,,
https://www.lucardi.nl/nl-nl/product/78405/stalen-set-kettingenoorbellen-rose-zirkonia,Stalen set ketting&oorbellen rose zirkonia,Lucardi,39.99,50%,Cadeau Sets,,,,,,,
